Designator,Mid X,Mid Y,Rotation,Layer
C1,42.691326,-48.039184,0.0,top
C10,39.176522,-36.995,180.0,bottom
C2,47.326522,-33.18,90.0,bottom
C3,37.164999,-42.524468,0.0,bottom
C4,42.774999,-40.624468,0.0,bottom
C5,50.374999,-41.714468,90.0,bottom
C9,42.216522,-36.995,0.0,bottom
CN1,46.19,-25.49,180.0,bottom
D1,38.34,-51.72,270.0,top
D2,40.794999,-45.316968,270.0,bottom
D3,39.93,-27.66,90.0,bottom
L1,37.207499,-48.174468,180.0,bottom
Q1,37.656522,-33.005,180.0,bottom
R1,36.94,-49.84278,0.0,bottom
R10,39.176522,-35.465,180.0,bottom
R11,34.674999,-43.349468,90.0,bottom
R12,34.674999,-46.414468,90.0,bottom
R13,42.69,-40.63,0.0,top
R2,36.94,-51.39278,180.0,bottom
R3,36.94,-54.48278,180.0,bottom
R4,36.94,-52.94278,0.0,bottom
R6,35.085,-40.63,0.0,top
R7,48.866522,-33.18,270.0,bottom
R8,41.291522,-33.005,180.0,bottom
R9,42.216522,-35.465,0.0,bottom
SW1,38.34,-44.74,0.0,top
SW2,47.04,-44.74,0.0,top
TP1,39.93,-22.38,0.0,bottom
TP2,36.34,-22.38,0.0,bottom
TP3,36.34,-25.66,0.0,bottom
TP4,36.34,-28.965,0.0,bottom
U1,42.69,-29.85,0.0,top
U2,39.87635,-50.987184,270.0,bottom
U3,39.87635,-53.36028,270.0,bottom
U4,44.726522,-33.005,270.0,bottom
U5,45.746522,-36.229616,90.0,bottom
U6,37.214999,-45.294468,180.0,bottom
U7,47.404999,-45.294468,180.0,bottom
USB1,46.74,-52.0075,0.0,top
