Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,100nF,C14663
"C10, C9",0603,2,4.7uF,C19666
C3,0603,1,22uF,C59461
"C4, C5",0603,2,10uF,C19702
CN1,CONN-SMD_P2.00_S2B-PH-SM4-TB-LF-SN,1,S2B-PH-SM4-TB,C295747
D1,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,C42417498
"D2, D3",D_SMA,2,D_Schottky,C2480
L1,0805,1,4.7uH,C395016
Q1,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,1,FS8205A_C2830320,C2830320
"R1, R13, R4, R6",0603,4,5.1k,C23186
"R10, R8, R9",0603,3,1k,C21190
R11,0603,1,100k,C25803
R12,0603,1,33k,C4216
"R2, R3",0603,2,56k,C23206
R7,0603,1,100,C22775
SW1,SW_Push_1TS009xxxx-xxxx-xxxx_6x6x5mm,1,RST,C318884
SW2,SW_Push_1TS009xxxx-xxxx-xxxx_6x6x5mm,1,BOOT,C318884
"TP1, TP2, TP3, TP4",TestPoint_Pad_2.0x2.0mm,4,TestPoint,
U1,WIRELM-SMD_ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,C2913202
"U2, U3",SOT-363-6_L2.2-W1.3-P0.65-LS2.1-BL,2,74LVC1G3157DW-7,C176651
U4,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,DW01A_C351410,C351410
U5,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,1,MCP73831T-2ACI/OT,C424093
U6,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,MT3608,C84817
U7,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,1,AMS1117-3.3,C6186
USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,TYPE-C 16PIN 2MD,C2765186
USB2,USB-A-SMD_USB-212-BCW,1,USB-212-BCW,C720521
